algorithm,transformation,max_features,ngram_range,data_type,mean_balanced_accuracy,mean_recall,mean_roc_auc,mean_f1,mean_precision
XGB,tfidf,100,"(1, 3)",clean_steeming_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tfidf,200,"(1, 1)",clean,0.86,0.91,0.86,0.85,0.86
SVMR,tfidf,200,"(1, 1)",clean,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,200,"(1, 1)",clean,0.92,0.85,0.92,0.96,0.92
LR1,tfidf,200,"(1, 1)",clean,0.87,0.75,0.87,0.94,0.87
LR2,tfidf,200,"(1, 1)",clean,0.88,0.77,0.88,0.95,0.88
RF,tfidf,200,"(1, 1)",clean,0.94,0.91,0.94,0.96,0.94
XGB,tfidf,200,"(1, 1)",clean,0.89,0.79,0.89,0.94,0.89
NB,tfidf,200,"(1, 1)",clean_steeming,0.87,0.91,0.87,0.86,0.87
SVMR,tfidf,200,"(1, 1)",clean_steeming,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,200,"(1, 1)",clean_steeming,0.94,0.9,0.94,0.97,0.94
LR1,tfidf,200,"(1, 1)",clean_steeming,0.88,0.77,0.88,0.94,0.88
LR2,tfidf,200,"(1, 1)",clean_steeming,0.9,0.8,0.9,0.95,0.9
RF,tfidf,200,"(1, 1)",clean_steeming,0.95,0.92,0.95,0.97,0.95
XGB,tfidf,200,"(1, 1)",clean_steeming,0.89,0.8,0.89,0.94,0.89
NB,tfidf,200,"(1, 1)",clean_lemmatization,0.86,0.91,0.86,0.85,0.86
SVMR,tfidf,200,"(1, 1)",clean_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,200,"(1, 1)",clean_lemmatization,0.94,0.89,0.94,0.97,0.94
LR1,tfidf,200,"(1, 1)",clean_lemmatization,0.88,0.77,0.88,0.94,0.88
LR2,tfidf,200,"(1, 1)",clean_lemmatization,0.89,0.78,0.89,0.95,0.89
RF,tfidf,200,"(1, 1)",clean_lemmatization,0.96,0.93,0.96,0.97,0.96
XGB,tfidf,200,"(1, 1)",clean_lemmatization,0.89,0.8,0.89,0.94,0.89
NB,tfidf,200,"(1, 1)",clean_steeming_lemmatization,0.87,0.9,0.87,0.86,0.87
SVMR,tfidf,200,"(1, 1)",clean_steeming_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,200,"(1, 1)",clean_steeming_lemmatization,0.94,0.89,0.94,0.97,0.94
LR1,tfidf,200,"(1, 1)",clean_steeming_lemmatization,0.87,0.75,0.87,0.94,0.87
LR2,tfidf,200,"(1, 1)",clean_steeming_lemmatization,0.89,0.79,0.89,0.95,0.89
RF,tfidf,200,"(1, 1)",clean_steeming_lemmatization,0.95,0.92,0.95,0.97,0.95
XGB,tfidf,200,"(1, 1)",clean_steeming_lemmatization,0.89,0.8,0.89,0.94,0.89
NB,tfidf,200,"(1, 2)",clean,0.85,0.9,0.85,0.83,0.85
SVMR,tfidf,200,"(1, 2)",clean,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,200,"(1, 2)",clean,0.92,0.85,0.92,0.96,0.92
LR1,tfidf,200,"(1, 2)",clean,0.87,0.74,0.87,0.94,0.87
LR2,tfidf,200,"(1, 2)",clean,0.88,0.77,0.88,0.94,0.88
RF,tfidf,200,"(1, 2)",clean,0.94,0.91,0.94,0.96,0.94
XGB,tfidf,200,"(1, 2)",clean,0.89,0.79,0.89,0.94,0.89
NB,tfidf,200,"(1, 2)",clean_steeming,0.87,0.91,0.87,0.86,0.87
SVMR,tfidf,200,"(1, 2)",clean_steeming,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,200,"(1, 2)",clean_steeming,0.94,0.9,0.94,0.97,0.94
LR1,tfidf,200,"(1, 2)",clean_steeming,0.89,0.78,0.89,0.94,0.89
LR2,tfidf,200,"(1, 2)",clean_steeming,0.9,0.8,0.9,0.95,0.9
RF,tfidf,200,"(1, 2)",clean_steeming,0.95,0.92,0.95,0.97,0.95
XGB,tfidf,200,"(1, 2)",clean_steeming,0.9,0.81,0.9,0.94,0.9
NB,tfidf,200,"(1, 2)",clean_lemmatization,0.86,0.91,0.86,0.84,0.86
SVMR,tfidf,200,"(1, 2)",clean_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,200,"(1, 2)",clean_lemmatization,0.94,0.89,0.94,0.97,0.94
LR1,tfidf,200,"(1, 2)",clean_lemmatization,0.88,0.77,0.88,0.95,0.88
LR2,tfidf,200,"(1, 2)",clean_lemmatization,0.89,0.79,0.89,0.95,0.89
RF,tfidf,200,"(1, 2)",clean_lemmatization,0.96,0.93,0.96,0.97,0.96
XGB,tfidf,200,"(1, 2)",clean_lemmatization,0.89,0.8,0.89,0.94,0.89
NB,tfidf,200,"(1, 2)",clean_steeming_lemmatization,0.87,0.91,0.87,0.86,0.87
SVMR,tfidf,200,"(1, 2)",clean_steeming_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,200,"(1, 2)",clean_steeming_lemmatization,0.94,0.89,0.94,0.97,0.94
LR1,tfidf,200,"(1, 2)",clean_steeming_lemmatization,0.87,0.76,0.87,0.94,0.87
LR2,tfidf,200,"(1, 2)",clean_steeming_lemmatization,0.9,0.8,0.9,0.95,0.9
RF,tfidf,200,"(1, 2)",clean_steeming_lemmatization,0.96,0.92,0.96,0.97,0.96
XGB,tfidf,200,"(1, 2)",clean_steeming_lemmatization,0.89,0.79,0.89,0.94,0.89
NB,tfidf,200,"(1, 3)",clean,0.85,0.9,0.85,0.83,0.85
SVMR,tfidf,200,"(1, 3)",clean,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,200,"(1, 3)",clean,0.92,0.85,0.92,0.96,0.92
LR1,tfidf,200,"(1, 3)",clean,0.87,0.75,0.87,0.94,0.87
LR2,tfidf,200,"(1, 3)",clean,0.88,0.77,0.88,0.95,0.88
RF,tfidf,200,"(1, 3)",clean,0.94,0.9,0.94,0.96,0.94
XGB,tfidf,200,"(1, 3)",clean,0.89,0.79,0.89,0.94,0.89
NB,tfidf,200,"(1, 3)",clean_steeming,0.87,0.91,0.87,0.86,0.87
SVMR,tfidf,200,"(1, 3)",clean_steeming,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,200,"(1, 3)",clean_steeming,0.94,0.89,0.94,0.96,0.94
LR1,tfidf,200,"(1, 3)",clean_steeming,0.89,0.78,0.89,0.94,0.89
LR2,tfidf,200,"(1, 3)",clean_steeming,0.9,0.8,0.9,0.95,0.9
RF,tfidf,200,"(1, 3)",clean_steeming,0.95,0.92,0.95,0.97,0.95
XGB,tfidf,200,"(1, 3)",clean_steeming,0.9,0.81,0.9,0.94,0.9
NB,tfidf,200,"(1, 3)",clean_lemmatization,0.86,0.91,0.86,0.84,0.86
SVMR,tfidf,200,"(1, 3)",clean_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,200,"(1, 3)",clean_lemmatization,0.95,0.9,0.95,0.97,0.95
LR1,tfidf,200,"(1, 3)",clean_lemmatization,0.88,0.77,0.88,0.95,0.88
LR2,tfidf,200,"(1, 3)",clean_lemmatization,0.89,0.79,0.89,0.95,0.89
RF,tfidf,200,"(1, 3)",clean_lemmatization,0.96,0.93,0.96,0.97,0.96
XGB,tfidf,200,"(1, 3)",clean_lemmatization,0.89,0.8,0.89,0.94,0.89
NB,tfidf,200,"(1, 3)",clean_steeming_lemmatization,0.87,0.91,0.87,0.86,0.87
SVMR,tfidf,200,"(1, 3)",clean_steeming_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,200,"(1, 3)",clean_steeming_lemmatization,0.94,0.89,0.94,0.97,0.94
LR1,tfidf,200,"(1, 3)",clean_steeming_lemmatization,0.87,0.76,0.87,0.94,0.87
LR2,tfidf,200,"(1, 3)",clean_steeming_lemmatization,0.9,0.8,0.9,0.95,0.9
RF,tfidf,200,"(1, 3)",clean_steeming_lemmatization,0.96,0.92,0.96,0.97,0.96
XGB,tfidf,200,"(1, 3)",clean_steeming_lemmatization,0.89,0.79,0.89,0.94,0.89
NB,tfidf,400,"(1, 1)",clean,0.89,0.89,0.89,0.9,0.89
SVMR,tfidf,400,"(1, 1)",clean,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,400,"(1, 1)",clean,0.95,0.91,0.95,0.97,0.95
LR1,tfidf,400,"(1, 1)",clean,0.85,0.71,0.85,0.92,0.85
LR2,tfidf,400,"(1, 1)",clean,0.87,0.74,0.87,0.94,0.87
RF,tfidf,400,"(1, 1)",clean,0.96,0.93,0.96,0.97,0.96
XGB,tfidf,400,"(1, 1)",clean,0.88,0.78,0.88,0.93,0.88
NB,tfidf,400,"(1, 1)",clean_steeming,0.87,0.83,0.87,0.9,0.87
SVMR,tfidf,400,"(1, 1)",clean_steeming,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,400,"(1, 1)",clean_steeming,0.95,0.9,0.95,0.98,0.95
LR1,tfidf,400,"(1, 1)",clean_steeming,0.88,0.76,0.88,0.94,0.88
LR2,tfidf,400,"(1, 1)",clean_steeming,0.88,0.77,0.88,0.94,0.88
RF,tfidf,400,"(1, 1)",clean_steeming,0.95,0.91,0.95,0.97,0.95
XGB,tfidf,400,"(1, 1)",clean_steeming,0.89,0.8,0.89,0.94,0.89
NB,tfidf,400,"(1, 1)",clean_lemmatization,0.9,0.89,0.9,0.91,0.9
SVMR,tfidf,400,"(1, 1)",clean_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,400,"(1, 1)",clean_lemmatization,0.94,0.89,0.94,0.97,0.94
LR1,tfidf,400,"(1, 1)",clean_lemmatization,0.89,0.78,0.89,0.95,0.89
LR2,tfidf,400,"(1, 1)",clean_lemmatization,0.88,0.76,0.88,0.94,0.88
RF,tfidf,400,"(1, 1)",clean_lemmatization,0.95,0.91,0.95,0.97,0.95
XGB,tfidf,400,"(1, 1)",clean_lemmatization,0.89,0.79,0.89,0.94,0.89
NB,tfidf,400,"(1, 1)",clean_steeming_lemmatization,0.87,0.83,0.87,0.9,0.87
SVMR,tfidf,400,"(1, 1)",clean_steeming_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,400,"(1, 1)",clean_steeming_lemmatization,0.95,0.9,0.95,0.98,0.95
LR1,tfidf,400,"(1, 1)",clean_steeming_lemmatization,0.88,0.77,0.88,0.94,0.88
LR2,tfidf,400,"(1, 1)",clean_steeming_lemmatization,0.88,0.77,0.88,0.94,0.88
RF,tfidf,400,"(1, 1)",clean_steeming_lemmatization,0.95,0.91,0.95,0.97,0.95
XGB,tfidf,400,"(1, 1)",clean_steeming_lemmatization,0.89,0.8,0.89,0.94,0.89
NB,tfidf,400,"(1, 2)",clean,0.89,0.9,0.89,0.9,0.89
SVMR,tfidf,400,"(1, 2)",clean,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,400,"(1, 2)",clean,0.94,0.89,0.94,0.97,0.94
LR1,tfidf,400,"(1, 2)",clean,0.85,0.71,0.85,0.92,0.85
LR2,tfidf,400,"(1, 2)",clean,0.87,0.75,0.87,0.94,0.87
RF,tfidf,400,"(1, 2)",clean,0.95,0.91,0.95,0.97,0.95
XGB,tfidf,400,"(1, 2)",clean,0.88,0.78,0.88,0.93,0.88
NB,tfidf,400,"(1, 2)",clean_steeming,0.89,0.88,0.89,0.9,0.89
SVMR,tfidf,400,"(1, 2)",clean_steeming,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,400,"(1, 2)",clean_steeming,0.95,0.91,0.95,0.98,0.95
LR1,tfidf,400,"(1, 2)",clean_steeming,0.88,0.76,0.88,0.94,0.88
LR2,tfidf,400,"(1, 2)",clean_steeming,0.88,0.77,0.88,0.94,0.88
RF,tfidf,400,"(1, 2)",clean_steeming,0.94,0.9,0.94,0.97,0.94
XGB,tfidf,400,"(1, 2)",clean_steeming,0.89,0.8,0.89,0.94,0.89
NB,tfidf,400,"(1, 2)",clean_lemmatization,0.9,0.9,0.9,0.91,0.9
SVMR,tfidf,400,"(1, 2)",clean_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,400,"(1, 2)",clean_lemmatization,0.94,0.89,0.94,0.97,0.94
LR1,tfidf,400,"(1, 2)",clean_lemmatization,0.89,0.79,0.89,0.95,0.89
LR2,tfidf,400,"(1, 2)",clean_lemmatization,0.88,0.76,0.88,0.95,0.88
RF,tfidf,400,"(1, 2)",clean_lemmatization,0.96,0.94,0.96,0.98,0.96
XGB,tfidf,400,"(1, 2)",clean_lemmatization,0.9,0.81,0.9,0.94,0.9
NB,tfidf,400,"(1, 2)",clean_steeming_lemmatization,0.89,0.88,0.89,0.9,0.89
SVMR,tfidf,400,"(1, 2)",clean_steeming_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,400,"(1, 2)",clean_steeming_lemmatization,0.95,0.9,0.95,0.98,0.95
LR1,tfidf,400,"(1, 2)",clean_steeming_lemmatization,0.88,0.76,0.88,0.94,0.88
LR2,tfidf,400,"(1, 2)",clean_steeming_lemmatization,0.89,0.78,0.89,0.95,0.89
RF,tfidf,400,"(1, 2)",clean_steeming_lemmatization,0.95,0.91,0.95,0.97,0.95
XGB,tfidf,400,"(1, 2)",clean_steeming_lemmatization,0.89,0.8,0.89,0.94,0.89
NB,tfidf,400,"(1, 3)",clean,0.89,0.88,0.89,0.9,0.89
SVMR,tfidf,400,"(1, 3)",clean,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,400,"(1, 3)",clean,0.93,0.88,0.93,0.96,0.93
LR1,tfidf,400,"(1, 3)",clean,0.85,0.71,0.85,0.93,0.85
LR2,tfidf,400,"(1, 3)",clean,0.87,0.75,0.87,0.94,0.87
RF,tfidf,400,"(1, 3)",clean,0.95,0.91,0.95,0.97,0.95
XGB,tfidf,400,"(1, 3)",clean,0.88,0.78,0.88,0.93,0.88
NB,tfidf,400,"(1, 3)",clean_steeming,0.89,0.88,0.89,0.91,0.89
SVMR,tfidf,400,"(1, 3)",clean_steeming,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,400,"(1, 3)",clean_steeming,0.95,0.91,0.95,0.98,0.95
LR1,tfidf,400,"(1, 3)",clean_steeming,0.88,0.76,0.88,0.94,0.88
LR2,tfidf,400,"(1, 3)",clean_steeming,0.89,0.78,0.89,0.95,0.89
RF,tfidf,400,"(1, 3)",clean_steeming,0.95,0.91,0.95,0.97,0.95
XGB,tfidf,400,"(1, 3)",clean_steeming,0.89,0.8,0.89,0.94,0.89
NB,tfidf,400,"(1, 3)",clean_lemmatization,0.9,0.89,0.9,0.91,0.9
SVMR,tfidf,400,"(1, 3)",clean_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,400,"(1, 3)",clean_lemmatization,0.94,0.89,0.94,0.97,0.94
LR1,tfidf,400,"(1, 3)",clean_lemmatization,0.88,0.77,0.88,0.95,0.88
LR2,tfidf,400,"(1, 3)",clean_lemmatization,0.88,0.76,0.88,0.95,0.88
RF,tfidf,400,"(1, 3)",clean_lemmatization,0.95,0.91,0.95,0.97,0.95
XGB,tfidf,400,"(1, 3)",clean_lemmatization,0.9,0.81,0.9,0.94,0.9
NB,tfidf,400,"(1, 3)",clean_steeming_lemmatization,0.89,0.87,0.89,0.9,0.89
SVMR,tfidf,400,"(1, 3)",clean_steeming_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,400,"(1, 3)",clean_steeming_lemmatization,0.95,0.91,0.95,0.98,0.95
LR1,tfidf,400,"(1, 3)",clean_steeming_lemmatization,0.88,0.77,0.88,0.94,0.88
LR2,tfidf,400,"(1, 3)",clean_steeming_lemmatization,0.88,0.77,0.88,0.95,0.88
RF,tfidf,400,"(1, 3)",clean_steeming_lemmatization,0.95,0.91,0.95,0.97,0.95
XGB,tfidf,400,"(1, 3)",clean_steeming_lemmatization,0.89,0.79,0.89,0.94,0.89
NB,tfidf,500,"(1, 1)",clean,0.92,0.94,0.92,0.91,0.92
SVMR,tfidf,500,"(1, 1)",clean,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,500,"(1, 1)",clean,0.94,0.89,0.94,0.97,0.94
LR1,tfidf,500,"(1, 1)",clean,0.84,0.69,0.84,0.92,0.84
LR2,tfidf,500,"(1, 1)",clean,0.86,0.73,0.86,0.94,0.86
RF,tfidf,500,"(1, 1)",clean,0.95,0.92,0.95,0.97,0.95
XGB,tfidf,500,"(1, 1)",clean,0.88,0.78,0.88,0.94,0.88
NB,tfidf,500,"(1, 1)",clean_steeming,0.89,0.84,0.89,0.92,0.89
SVMR,tfidf,500,"(1, 1)",clean_steeming,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,500,"(1, 1)",clean_steeming,0.96,0.93,0.96,0.98,0.96
LR1,tfidf,500,"(1, 1)",clean_steeming,0.88,0.77,0.88,0.94,0.88
LR2,tfidf,500,"(1, 1)",clean_steeming,0.88,0.77,0.88,0.95,0.88
RF,tfidf,500,"(1, 1)",clean_steeming,0.95,0.9,0.95,0.97,0.95
XGB,tfidf,500,"(1, 1)",clean_steeming,0.88,0.78,0.88,0.93,0.88
NB,tfidf,500,"(1, 1)",clean_lemmatization,0.91,0.9,0.91,0.92,0.91
SVMR,tfidf,500,"(1, 1)",clean_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,500,"(1, 1)",clean_lemmatization,0.95,0.9,0.95,0.97,0.95
LR1,tfidf,500,"(1, 1)",clean_lemmatization,0.88,0.77,0.88,0.94,0.88
LR2,tfidf,500,"(1, 1)",clean_lemmatization,0.88,0.76,0.88,0.94,0.88
RF,tfidf,500,"(1, 1)",clean_lemmatization,0.96,0.93,0.96,0.98,0.96
XGB,tfidf,500,"(1, 1)",clean_lemmatization,0.89,0.8,0.89,0.94,0.89
NB,tfidf,500,"(1, 1)",clean_steeming_lemmatization,0.88,0.83,0.88,0.91,0.88
SVMR,tfidf,500,"(1, 1)",clean_steeming_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,500,"(1, 1)",clean_steeming_lemmatization,0.95,0.9,0.95,0.97,0.95
LR1,tfidf,500,"(1, 1)",clean_steeming_lemmatization,0.87,0.76,0.87,0.94,0.87
LR2,tfidf,500,"(1, 1)",clean_steeming_lemmatization,0.89,0.77,0.89,0.95,0.89
RF,tfidf,500,"(1, 1)",clean_steeming_lemmatization,0.95,0.91,0.95,0.97,0.95
XGB,tfidf,500,"(1, 1)",clean_steeming_lemmatization,0.89,0.8,0.89,0.94,0.89
NB,tfidf,500,"(1, 2)",clean,0.92,0.94,0.92,0.92,0.92
SVMR,tfidf,500,"(1, 2)",clean,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,500,"(1, 2)",clean,0.94,0.89,0.94,0.97,0.94
LR1,tfidf,500,"(1, 2)",clean,0.84,0.69,0.84,0.92,0.84
LR2,tfidf,500,"(1, 2)",clean,0.86,0.73,0.86,0.94,0.86
RF,tfidf,500,"(1, 2)",clean,0.94,0.9,0.94,0.97,0.94
XGB,tfidf,500,"(1, 2)",clean,0.88,0.78,0.88,0.94,0.88
NB,tfidf,500,"(1, 2)",clean_steeming,0.9,0.87,0.9,0.92,0.9
SVMR,tfidf,500,"(1, 2)",clean_steeming,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,500,"(1, 2)",clean_steeming,0.96,0.93,0.96,0.98,0.96
LR1,tfidf,500,"(1, 2)",clean_steeming,0.88,0.76,0.88,0.94,0.88
LR2,tfidf,500,"(1, 2)",clean_steeming,0.89,0.77,0.89,0.95,0.89
RF,tfidf,500,"(1, 2)",clean_steeming,0.95,0.91,0.95,0.97,0.95
XGB,tfidf,500,"(1, 2)",clean_steeming,0.89,0.79,0.89,0.94,0.89
NB,tfidf,500,"(1, 2)",clean_lemmatization,0.91,0.9,0.91,0.92,0.91
SVMR,tfidf,500,"(1, 2)",clean_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,500,"(1, 2)",clean_lemmatization,0.95,0.9,0.95,0.97,0.95
LR1,tfidf,500,"(1, 2)",clean_lemmatization,0.88,0.78,0.88,0.95,0.88
LR2,tfidf,500,"(1, 2)",clean_lemmatization,0.88,0.76,0.88,0.94,0.88
RF,tfidf,500,"(1, 2)",clean_lemmatization,0.96,0.93,0.96,0.98,0.96
XGB,tfidf,500,"(1, 2)",clean_lemmatization,0.88,0.78,0.88,0.93,0.88
NB,tfidf,500,"(1, 2)",clean_steeming_lemmatization,0.9,0.88,0.9,0.92,0.9
SVMR,tfidf,500,"(1, 2)",clean_steeming_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,500,"(1, 2)",clean_steeming_lemmatization,0.95,0.9,0.95,0.97,0.95
LR1,tfidf,500,"(1, 2)",clean_steeming_lemmatization,0.87,0.75,0.87,0.94,0.87
LR2,tfidf,500,"(1, 2)",clean_steeming_lemmatization,0.88,0.76,0.88,0.94,0.88
RF,tfidf,500,"(1, 2)",clean_steeming_lemmatization,0.95,0.91,0.95,0.97,0.95
XGB,tfidf,500,"(1, 2)",clean_steeming_lemmatization,0.88,0.78,0.88,0.94,0.88
NB,tfidf,500,"(1, 3)",clean,0.92,0.94,0.92,0.91,0.92
SVMR,tfidf,500,"(1, 3)",clean,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,500,"(1, 3)",clean,0.94,0.9,0.94,0.97,0.94
LR1,tfidf,500,"(1, 3)",clean,0.85,0.7,0.85,0.93,0.85
LR2,tfidf,500,"(1, 3)",clean,0.86,0.73,0.86,0.94,0.86
RF,tfidf,500,"(1, 3)",clean,0.95,0.91,0.95,0.97,0.95
XGB,tfidf,500,"(1, 3)",clean,0.88,0.78,0.88,0.94,0.88
NB,tfidf,500,"(1, 3)",clean_steeming,0.9,0.87,0.9,0.92,0.9
SVMR,tfidf,500,"(1, 3)",clean_steeming,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,500,"(1, 3)",clean_steeming,0.95,0.9,0.95,0.97,0.95
LR1,tfidf,500,"(1, 3)",clean_steeming,0.88,0.76,0.88,0.94,0.88
LR2,tfidf,500,"(1, 3)",clean_steeming,0.89,0.77,0.89,0.95,0.89
RF,tfidf,500,"(1, 3)",clean_steeming,0.95,0.91,0.95,0.97,0.95
XGB,tfidf,500,"(1, 3)",clean_steeming,0.89,0.79,0.89,0.94,0.89
NB,tfidf,500,"(1, 3)",clean_lemmatization,0.92,0.91,0.92,0.92,0.92
SVMR,tfidf,500,"(1, 3)",clean_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,500,"(1, 3)",clean_lemmatization,0.94,0.89,0.94,0.97,0.94
LR1,tfidf,500,"(1, 3)",clean_lemmatization,0.87,0.75,0.87,0.94,0.87
LR2,tfidf,500,"(1, 3)",clean_lemmatization,0.88,0.76,0.88,0.94,0.88
RF,tfidf,500,"(1, 3)",clean_lemmatization,0.95,0.91,0.95,0.97,0.95
XGB,tfidf,500,"(1, 3)",clean_lemmatization,0.88,0.78,0.88,0.93,0.88
NB,tfidf,500,"(1, 3)",clean_steeming_lemmatization,0.9,0.87,0.9,0.92,0.9
SVMR,tfidf,500,"(1, 3)",clean_steeming_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,500,"(1, 3)",clean_steeming_lemmatization,0.95,0.91,0.95,0.98,0.95
LR1,tfidf,500,"(1, 3)",clean_steeming_lemmatization,0.87,0.74,0.87,0.94,0.87
LR2,tfidf,500,"(1, 3)",clean_steeming_lemmatization,0.88,0.77,0.88,0.95,0.88
RF,tfidf,500,"(1, 3)",clean_steeming_lemmatization,0.95,0.91,0.95,0.97,0.95
XGB,tfidf,500,"(1, 3)",clean_steeming_lemmatization,0.88,0.78,0.88,0.94,0.88
NB,tfidf,800,"(1, 1)",clean,0.92,0.9,0.92,0.93,0.92
SVMR,tfidf,800,"(1, 1)",clean,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,800,"(1, 1)",clean,0.94,0.88,0.94,0.97,0.94
LR1,tfidf,800,"(1, 1)",clean,0.84,0.68,0.84,0.92,0.84
LR2,tfidf,800,"(1, 1)",clean,0.84,0.69,0.84,0.93,0.84
RF,tfidf,800,"(1, 1)",clean,0.95,0.9,0.95,0.97,0.95
XGB,tfidf,800,"(1, 1)",clean,0.89,0.79,0.89,0.94,0.89
NB,tfidf,800,"(1, 1)",clean_steeming,0.88,0.8,0.88,0.92,0.88
SVMR,tfidf,800,"(1, 1)",clean_steeming,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,800,"(1, 1)",clean_steeming,0.95,0.91,0.95,0.98,0.95
LR1,tfidf,800,"(1, 1)",clean_steeming,0.86,0.72,0.86,0.93,0.86
LR2,tfidf,800,"(1, 1)",clean_steeming,0.87,0.74,0.87,0.94,0.87
RF,tfidf,800,"(1, 1)",clean_steeming,0.95,0.9,0.95,0.97,0.95
XGB,tfidf,800,"(1, 1)",clean_steeming,0.88,0.78,0.88,0.94,0.88
NB,tfidf,800,"(1, 1)",clean_lemmatization,0.92,0.89,0.92,0.94,0.92
SVMR,tfidf,800,"(1, 1)",clean_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,800,"(1, 1)",clean_lemmatization,0.95,0.9,0.95,0.97,0.95
LR1,tfidf,800,"(1, 1)",clean_lemmatization,0.85,0.7,0.85,0.93,0.85
LR2,tfidf,800,"(1, 1)",clean_lemmatization,0.86,0.73,0.86,0.94,0.86
RF,tfidf,800,"(1, 1)",clean_lemmatization,0.96,0.93,0.96,0.98,0.96
XGB,tfidf,800,"(1, 1)",clean_lemmatization,0.9,0.81,0.9,0.94,0.9
NB,tfidf,800,"(1, 1)",clean_steeming_lemmatization,0.88,0.81,0.88,0.92,0.88
SVMR,tfidf,800,"(1, 1)",clean_steeming_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,800,"(1, 1)",clean_steeming_lemmatization,0.95,0.91,0.95,0.98,0.95
LR1,tfidf,800,"(1, 1)",clean_steeming_lemmatization,0.86,0.72,0.86,0.93,0.86
LR2,tfidf,800,"(1, 1)",clean_steeming_lemmatization,0.87,0.75,0.87,0.94,0.87
RF,tfidf,800,"(1, 1)",clean_steeming_lemmatization,0.96,0.92,0.96,0.98,0.96
XGB,tfidf,800,"(1, 1)",clean_steeming_lemmatization,0.88,0.78,0.88,0.94,0.88
NB,tfidf,800,"(1, 2)",clean,0.93,0.92,0.93,0.94,0.93
SVMR,tfidf,800,"(1, 2)",clean,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,800,"(1, 2)",clean,0.94,0.89,0.94,0.97,0.94
LR1,tfidf,800,"(1, 2)",clean,0.84,0.68,0.84,0.92,0.84
LR2,tfidf,800,"(1, 2)",clean,0.85,0.71,0.85,0.93,0.85
RF,tfidf,800,"(1, 2)",clean,0.94,0.9,0.94,0.97,0.94
XGB,tfidf,800,"(1, 2)",clean,0.88,0.78,0.88,0.94,0.88
NB,tfidf,800,"(1, 2)",clean_steeming,0.91,0.87,0.91,0.93,0.91
SVMR,tfidf,800,"(1, 2)",clean_steeming,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,800,"(1, 2)",clean_steeming,0.96,0.92,0.96,0.98,0.96
LR1,tfidf,800,"(1, 2)",clean_steeming,0.86,0.72,0.86,0.93,0.86
LR2,tfidf,800,"(1, 2)",clean_steeming,0.88,0.76,0.88,0.94,0.88
RF,tfidf,800,"(1, 2)",clean_steeming,0.95,0.91,0.95,0.97,0.95
XGB,tfidf,800,"(1, 2)",clean_steeming,0.88,0.79,0.88,0.94,0.88
NB,tfidf,800,"(1, 2)",clean_lemmatization,0.93,0.91,0.93,0.94,0.93
SVMR,tfidf,800,"(1, 2)",clean_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,800,"(1, 2)",clean_lemmatization,0.95,0.9,0.95,0.97,0.95
