algorithm,train_data_file,mean_accuracy,std_accuracy
NB,data/train/data_tc_10000_1_ 1_clean.pkl,0.94,0.01
SVM,data/train/data_tc_10000_1_ 1_clean.pkl,0.65,0.01
LR,data/train/data_tc_10000_1_ 1_clean.pkl,0.95,0.01
RF,data/train/data_tc_10000_1_ 1_clean.pkl,0.95,0.01
GB,data/train/data_tc_10000_1_ 1_clean.pkl,0.93,0.01
NB,data/train/data_tfidf_5000_1_ 3_clean_lemmatization.pkl,0.97,0.01
SVM,data/train/data_tfidf_5000_1_ 3_clean_lemmatization.pkl,0.64,0.02
LR,data/train/data_tfidf_5000_1_ 3_clean_lemmatization.pkl,0.78,0.02
RF,data/train/data_tfidf_5000_1_ 3_clean_lemmatization.pkl,0.95,0.01
GB,data/train/data_tfidf_5000_1_ 3_clean_lemmatization.pkl,0.92,0.01
NB,data/train/data_tc_800_1_ 3_clean_lemmatization.pkl,0.93,0.01
SVM,data/train/data_tc_800_1_ 3_clean_lemmatization.pkl,0.65,0.0
LR,data/train/data_tc_800_1_ 3_clean_lemmatization.pkl,0.95,0.01
RF,data/train/data_tc_800_1_ 3_clean_lemmatization.pkl,0.95,0.01
GB,data/train/data_tc_800_1_ 3_clean_lemmatization.pkl,0.93,0.0
NB,data/train/data_tc_500_1_ 1_clean.pkl,0.91,0.01
SVM,data/train/data_tc_500_1_ 1_clean.pkl,0.65,0.0
LR,data/train/data_tc_500_1_ 1_clean.pkl,0.95,0.01
RF,data/train/data_tc_500_1_ 1_clean.pkl,0.94,0.01
GB,data/train/data_tc_500_1_ 1_clean.pkl,0.93,0.0
NB,data/train/data_tc_2000_1_ 1_clean.pkl,0.93,0.01
SVM,data/train/data_tc_2000_1_ 1_clean.pkl,0.65,0.01
LR,data/train/data_tc_2000_1_ 1_clean.pkl,0.95,0.01
RF,data/train/data_tc_2000_1_ 1_clean.pkl,0.95,0.01
GB,data/train/data_tc_2000_1_ 1_clean.pkl,0.93,0.01
NB,data/train/data_tc_10000_1_ 2_clean_lemmatization.pkl,0.97,0.0
SVM,data/train/data_tc_10000_1_ 2_clean_lemmatization.pkl,0.64,0.01
LR,data/train/data_tc_10000_1_ 2_clean_lemmatization.pkl,0.95,0.01
RF,data/train/data_tc_10000_1_ 2_clean_lemmatization.pkl,0.96,0.0
GB,data/train/data_tc_10000_1_ 2_clean_lemmatization.pkl,0.93,0.01
NB,data/train/data_tfidf_1000_1_ 2_clean_lemmatization.pkl,0.95,0.0
SVM,data/train/data_tfidf_1000_1_ 2_clean_lemmatization.pkl,0.64,0.01
LR,data/train/data_tfidf_1000_1_ 2_clean_lemmatization.pkl,0.79,0.01
RF,data/train/data_tfidf_1000_1_ 2_clean_lemmatization.pkl,0.95,0.0
GB,data/train/data_tfidf_1000_1_ 2_clean_lemmatization.pkl,0.92,0.01
NB,data/train/data_tfidf_10000_1_ 3_clean_lemmatization.pkl,0.97,0.01
SVM,data/train/data_tfidf_10000_1_ 3_clean_lemmatization.pkl,0.64,0.01
LR,data/train/data_tfidf_10000_1_ 3_clean_lemmatization.pkl,0.77,0.01
RF,data/train/data_tfidf_10000_1_ 3_clean_lemmatization.pkl,0.96,0.01
GB,data/train/data_tfidf_10000_1_ 3_clean_lemmatization.pkl,0.92,0.01
NB,data/train/data_tfidf_500_1_ 3_clean_lemmatization.pkl,0.94,0.0
SVM,data/train/data_tfidf_500_1_ 3_clean_lemmatization.pkl,0.64,0.01
LR,data/train/data_tfidf_500_1_ 3_clean_lemmatization.pkl,0.81,0.01
RF,data/train/data_tfidf_500_1_ 3_clean_lemmatization.pkl,0.94,0.01
GB,data/train/data_tfidf_500_1_ 3_clean_lemmatization.pkl,0.92,0.01
NB,data/train/data_tfidf_10000_1_ 1_clean.pkl,0.96,0.01
SVM,data/train/data_tfidf_10000_1_ 1_clean.pkl,0.64,0.01
LR,data/train/data_tfidf_10000_1_ 1_clean.pkl,0.78,0.01
RF,data/train/data_tfidf_10000_1_ 1_clean.pkl,0.95,0.01
GB,data/train/data_tfidf_10000_1_ 1_clean.pkl,0.92,0.01
NB,data/train/data_tfidf_2000_1_ 2_clean_lemmatization.pkl,0.96,0.01
SVM,data/train/data_tfidf_2000_1_ 2_clean_lemmatization.pkl,0.64,0.01
LR,data/train/data_tfidf_2000_1_ 2_clean_lemmatization.pkl,0.79,0.02
RF,data/train/data_tfidf_2000_1_ 2_clean_lemmatization.pkl,0.95,0.01
GB,data/train/data_tfidf_2000_1_ 2_clean_lemmatization.pkl,0.92,0.01
NB,data/train/data_tc_800_1_ 2_clean.pkl,0.93,0.01
SVM,data/train/data_tc_800_1_ 2_clean.pkl,0.65,0.02
LR,data/train/data_tc_800_1_ 2_clean.pkl,0.94,0.01
RF,data/train/data_tc_800_1_ 2_clean.pkl,0.94,0.01
GB,data/train/data_tc_800_1_ 2_clean.pkl,0.93,0.01
NB,data/train/data_tc_1000_1_ 3_clean_lemmatization.pkl,0.93,0.0
SVM,data/train/data_tc_1000_1_ 3_clean_lemmatization.pkl,0.64,0.01
LR,data/train/data_tc_1000_1_ 3_clean_lemmatization.pkl,0.94,0.01
RF,data/train/data_tc_1000_1_ 3_clean_lemmatization.pkl,0.95,0.0
GB,data/train/data_tc_1000_1_ 3_clean_lemmatization.pkl,0.93,0.01
NB,data/train/data_tc_1000_1_ 1_clean_lemmatization.pkl,0.93,0.01
SVM,data/train/data_tc_1000_1_ 1_clean_lemmatization.pkl,0.65,0.01
LR,data/train/data_tc_1000_1_ 1_clean_lemmatization.pkl,0.94,0.0
RF,data/train/data_tc_1000_1_ 1_clean_lemmatization.pkl,0.95,0.0
GB,data/train/data_tc_1000_1_ 1_clean_lemmatization.pkl,0.93,0.01
NB,data/train/data_tc_5000_1_ 2_clean.pkl,0.96,0.0
SVM,data/train/data_tc_5000_1_ 2_clean.pkl,0.65,0.02
LR,data/train/data_tc_5000_1_ 2_clean.pkl,0.95,0.01
RF,data/train/data_tc_5000_1_ 2_clean.pkl,0.95,0.0
GB,data/train/data_tc_5000_1_ 2_clean.pkl,0.93,0.01
NB,data/train/data_tc_800_1_ 3_clean.pkl,0.93,0.01
SVM,data/train/data_tc_800_1_ 3_clean.pkl,0.65,0.01
LR,data/train/data_tc_800_1_ 3_clean.pkl,0.94,0.01
RF,data/train/data_tc_800_1_ 3_clean.pkl,0.95,0.01
GB,data/train/data_tc_800_1_ 3_clean.pkl,0.93,0.01
NB,data/train/data_tc_1000_1_ 2_clean.pkl,0.94,0.01
SVM,data/train/data_tc_1000_1_ 2_clean.pkl,0.65,0.02
LR,data/train/data_tc_1000_1_ 2_clean.pkl,0.95,0.01
RF,data/train/data_tc_1000_1_ 2_clean.pkl,0.95,0.01
GB,data/train/data_tc_1000_1_ 2_clean.pkl,0.93,0.01
NB,data/train/data_tfidf_800_1_ 2_clean_lemmatization.pkl,0.95,0.01
SVM,data/train/data_tfidf_800_1_ 2_clean_lemmatization.pkl,0.64,0.02
LR,data/train/data_tfidf_800_1_ 2_clean_lemmatization.pkl,0.79,0.01
RF,data/train/data_tfidf_800_1_ 2_clean_lemmatization.pkl,0.95,0.0
GB,data/train/data_tfidf_800_1_ 2_clean_lemmatization.pkl,0.92,0.01
NB,data/train/data_tfidf_1000_1_ 1_clean.pkl,0.95,0.01
SVM,data/train/data_tfidf_1000_1_ 1_clean.pkl,0.64,0.01
LR,data/train/data_tfidf_1000_1_ 1_clean.pkl,0.79,0.02
RF,data/train/data_tfidf_1000_1_ 1_clean.pkl,0.95,0.01
GB,data/train/data_tfidf_1000_1_ 1_clean.pkl,0.92,0.01
NB,data/train/data_tfidf_800_1_ 2_clean.pkl,0.95,0.01
SVM,data/train/data_tfidf_800_1_ 2_clean.pkl,0.64,0.01
LR,data/train/data_tfidf_800_1_ 2_clean.pkl,0.8,0.01
RF,data/train/data_tfidf_800_1_ 2_clean.pkl,0.95,0.01
GB,data/train/data_tfidf_800_1_ 2_clean.pkl,0.92,0.01
NB,data/train/data_tfidf_1000_1_ 3_clean_lemmatization.pkl,0.95,0.0
SVM,data/train/data_tfidf_1000_1_ 3_clean_lemmatization.pkl,0.64,0.01
LR,data/train/data_tfidf_1000_1_ 3_clean_lemmatization.pkl,0.79,0.02
RF,data/train/data_tfidf_1000_1_ 3_clean_lemmatization.pkl,0.95,0.01
GB,data/train/data_tfidf_1000_1_ 3_clean_lemmatization.pkl,0.92,0.01
NB,data/train/data_tfidf_2000_1_ 3_clean_lemmatization.pkl,0.96,0.0
SVM,data/train/data_tfidf_2000_1_ 3_clean_lemmatization.pkl,0.64,0.02
LR,data/train/data_tfidf_2000_1_ 3_clean_lemmatization.pkl,0.79,0.01
RF,data/train/data_tfidf_2000_1_ 3_clean_lemmatization.pkl,0.95,0.01
GB,data/train/data_tfidf_2000_1_ 3_clean_lemmatization.pkl,0.92,0.01
NB,data/train/data_tfidf_5000_1_ 1_clean_lemmatization.pkl,0.96,0.0
SVM,data/train/data_tfidf_5000_1_ 1_clean_lemmatization.pkl,0.64,0.02
LR,data/train/data_tfidf_5000_1_ 1_clean_lemmatization.pkl,0.79,0.01
RF,data/train/data_tfidf_5000_1_ 1_clean_lemmatization.pkl,0.95,0.01
GB,data/train/data_tfidf_5000_1_ 1_clean_lemmatization.pkl,0.92,0.01
NB,data/train/data_tc_800_1_ 1_clean.pkl,0.93,0.01
SVM,data/train/data_tc_800_1_ 1_clean.pkl,0.65,0.02
LR,data/train/data_tc_800_1_ 1_clean.pkl,0.94,0.01
RF,data/train/data_tc_800_1_ 1_clean.pkl,0.95,0.01
GB,data/train/data_tc_800_1_ 1_clean.pkl,0.93,0.0
NB,data/train/data_tfidf_800_1_ 3_clean.pkl,0.95,0.01
SVM,data/train/data_tfidf_800_1_ 3_clean.pkl,0.64,0.02
LR,data/train/data_tfidf_800_1_ 3_clean.pkl,0.8,0.01
RF,data/train/data_tfidf_800_1_ 3_clean.pkl,0.95,0.0
GB,data/train/data_tfidf_800_1_ 3_clean.pkl,0.93,0.01
NB,data/train/data_tfidf_800_1_ 3_clean_lemmatization.pkl,0.95,0.0
SVM,data/train/data_tfidf_800_1_ 3_clean_lemmatization.pkl,0.64,0.02
LR,data/train/data_tfidf_800_1_ 3_clean_lemmatization.pkl,0.8,0.02
RF,data/train/data_tfidf_800_1_ 3_clean_lemmatization.pkl,0.95,0.0
GB,data/train/data_tfidf_800_1_ 3_clean_lemmatization.pkl,0.92,0.01
NB,data/train/data_tfidf_2000_1_ 1_clean.pkl,0.95,0.01
SVM,data/train/data_tfidf_2000_1_ 1_clean.pkl,0.64,0.01
LR,data/train/data_tfidf_2000_1_ 1_clean.pkl,0.78,0.01
RF,data/train/data_tfidf_2000_1_ 1_clean.pkl,0.95,0.01
GB,data/train/data_tfidf_2000_1_ 1_clean.pkl,0.92,0.01
NB,data/train/data_tfidf_5000_1_ 2_clean_lemmatization.pkl,0.97,0.01
SVM,data/train/data_tfidf_5000_1_ 2_clean_lemmatization.pkl,0.64,0.02
LR,data/train/data_tfidf_5000_1_ 2_clean_lemmatization.pkl,0.78,0.01
RF,data/train/data_tfidf_5000_1_ 2_clean_lemmatization.pkl,0.95,0.01
GB,data/train/data_tfidf_5000_1_ 2_clean_lemmatization.pkl,0.92,0.0
NB,data/train/data_tfidf_500_1_ 1_clean_lemmatization.pkl,0.94,0.0
SVM,data/train/data_tfidf_500_1_ 1_clean_lemmatization.pkl,0.64,0.02
LR,data/train/data_tfidf_500_1_ 1_clean_lemmatization.pkl,0.81,0.02
RF,data/train/data_tfidf_500_1_ 1_clean_lemmatization.pkl,0.95,0.01
GB,data/train/data_tfidf_500_1_ 1_clean_lemmatization.pkl,0.92,0.01
NB,data/train/data_tc_1000_1_ 2_clean_lemmatization.pkl,0.94,0.0
SVM,data/train/data_tc_1000_1_ 2_clean_lemmatization.pkl,0.65,0.02
LR,data/train/data_tc_1000_1_ 2_clean_lemmatization.pkl,0.95,0.01
RF,data/train/data_tc_1000_1_ 2_clean_lemmatization.pkl,0.95,0.01
GB,data/train/data_tc_1000_1_ 2_clean_lemmatization.pkl,0.93,0.01
NB,data/train/data_tfidf_800_1_ 1_clean_lemmatization.pkl,0.95,0.01
SVM,data/train/data_tfidf_800_1_ 1_clean_lemmatization.pkl,0.64,0.02
LR,data/train/data_tfidf_800_1_ 1_clean_lemmatization.pkl,0.8,0.01
RF,data/train/data_tfidf_800_1_ 1_clean_lemmatization.pkl,0.95,0.01
GB,data/train/data_tfidf_800_1_ 1_clean_lemmatization.pkl,0.93,0.01
NB,data/train/data_tc_10000_1_ 2_clean.pkl,0.97,0.0
SVM,data/train/data_tc_10000_1_ 2_clean.pkl,0.65,0.02
LR,data/train/data_tc_10000_1_ 2_clean.pkl,0.95,0.01
RF,data/train/data_tc_10000_1_ 2_clean.pkl,0.95,0.01
GB,data/train/data_tc_10000_1_ 2_clean.pkl,0.92,0.01
NB,data/train/data_tc_5000_1_ 3_clean_lemmatization.pkl,0.95,0.01
SVM,data/train/data_tc_5000_1_ 3_clean_lemmatization.pkl,0.65,0.01
LR,data/train/data_tc_5000_1_ 3_clean_lemmatization.pkl,0.95,0.0
RF,data/train/data_tc_5000_1_ 3_clean_lemmatization.pkl,0.95,0.0
GB,data/train/data_tc_5000_1_ 3_clean_lemmatization.pkl,0.93,0.01
NB,data/train/data_tc_500_1_ 2_clean_lemmatization.pkl,0.92,0.01
SVM,data/train/data_tc_500_1_ 2_clean_lemmatization.pkl,0.65,0.01
LR,data/train/data_tc_500_1_ 2_clean_lemmatization.pkl,0.94,0.01
RF,data/train/data_tc_500_1_ 2_clean_lemmatization.pkl,0.94,0.01
GB,data/train/data_tc_500_1_ 2_clean_lemmatization.pkl,0.92,0.01
NB,data/train/data_tfidf_10000_1_ 1_clean_lemmatization.pkl,0.96,0.01
SVM,data/train/data_tfidf_10000_1_ 1_clean_lemmatization.pkl,0.64,0.01
LR,data/train/data_tfidf_10000_1_ 1_clean_lemmatization.pkl,0.78,0.02
RF,data/train/data_tfidf_10000_1_ 1_clean_lemmatization.pkl,0.95,0.0
GB,data/train/data_tfidf_10000_1_ 1_clean_lemmatization.pkl,0.92,0.0
NB,data/train/data_tfidf_10000_1_ 3_clean.pkl,0.97,0.01
SVM,data/train/data_tfidf_10000_1_ 3_clean.pkl,0.64,0.01
LR,data/train/data_tfidf_10000_1_ 3_clean.pkl,0.78,0.01
RF,data/train/data_tfidf_10000_1_ 3_clean.pkl,0.95,0.0
GB,data/train/data_tfidf_10000_1_ 3_clean.pkl,0.92,0.01
NB,data/train/data_tfidf_1000_1_ 1_clean_lemmatization.pkl,0.95,0.01
SVM,data/train/data_tfidf_1000_1_ 1_clean_lemmatization.pkl,0.64,0.02
LR,data/train/data_tfidf_1000_1_ 1_clean_lemmatization.pkl,0.8,0.01
RF,data/train/data_tfidf_1000_1_ 1_clean_lemmatization.pkl,0.95,0.01
GB,data/train/data_tfidf_1000_1_ 1_clean_lemmatization.pkl,0.93,0.0
NB,data/train/data_tfidf_5000_1_ 1_clean.pkl,0.96,0.0
SVM,data/train/data_tfidf_5000_1_ 1_clean.pkl,0.64,0.01
LR,data/train/data_tfidf_5000_1_ 1_clean.pkl,0.78,0.01
RF,data/train/data_tfidf_5000_1_ 1_clean.pkl,0.95,0.01
GB,data/train/data_tfidf_5000_1_ 1_clean.pkl,0.92,0.0
NB,data/train/data_tfidf_500_1_ 2_clean_lemmatization.pkl,0.94,0.01
SVM,data/train/data_tfidf_500_1_ 2_clean_lemmatization.pkl,0.64,0.01
LR,data/train/data_tfidf_500_1_ 2_clean_lemmatization.pkl,0.82,0.01
RF,data/train/data_tfidf_500_1_ 2_clean_lemmatization.pkl,0.95,0.01
GB,data/train/data_tfidf_500_1_ 2_clean_lemmatization.pkl,0.92,0.01
NB,data/train/data_tfidf_2000_1_ 3_clean.pkl,0.96,0.0
SVM,data/train/data_tfidf_2000_1_ 3_clean.pkl,0.64,0.01
LR,data/train/data_tfidf_2000_1_ 3_clean.pkl,0.78,0.01
RF,data/train/data_tfidf_2000_1_ 3_clean.pkl,0.95,0.01
GB,data/train/data_tfidf_2000_1_ 3_clean.pkl,0.92,0.0
NB,data/train/data_tc_5000_1_ 1_clean.pkl,0.94,0.01
SVM,data/train/data_tc_5000_1_ 1_clean.pkl,0.65,0.01
LR,data/train/data_tc_5000_1_ 1_clean.pkl,0.95,0.02
RF,data/train/data_tc_5000_1_ 1_clean.pkl,0.95,0.01
GB,data/train/data_tc_5000_1_ 1_clean.pkl,0.92,0.01
NB,data/train/data_tfidf_1000_1_ 3_clean.pkl,0.96,0.01
SVM,data/train/data_tfidf_1000_1_ 3_clean.pkl,0.64,0.02
LR,data/train/data_tfidf_1000_1_ 3_clean.pkl,0.8,0.02
RF,data/train/data_tfidf_1000_1_ 3_clean.pkl,0.95,0.01
GB,data/train/data_tfidf_1000_1_ 3_clean.pkl,0.92,0.01
NB,data/train/data_tc_1000_1_ 3_clean.pkl,0.93,0.0
SVM,data/train/data_tc_1000_1_ 3_clean.pkl,0.65,0.01
LR,data/train/data_tc_1000_1_ 3_clean.pkl,0.94,0.0
RF,data/train/data_tc_1000_1_ 3_clean.pkl,0.95,0.0
GB,data/train/data_tc_1000_1_ 3_clean.pkl,0.93,0.01
NB,data/train/data_tc_800_1_ 1_clean_lemmatization.pkl,0.92,0.01
SVM,data/train/data_tc_800_1_ 1_clean_lemmatization.pkl,0.65,0.01
LR,data/train/data_tc_800_1_ 1_clean_lemmatization.pkl,0.94,0.01
RF,data/train/data_tc_800_1_ 1_clean_lemmatization.pkl,0.95,0.01
GB,data/train/data_tc_800_1_ 1_clean_lemmatization.pkl,0.93,0.01
NB,data/train/data_tfidf_500_1_ 1_clean.pkl,0.94,0.01
SVM,data/train/data_tfidf_500_1_ 1_clean.pkl,0.64,0.02
LR,data/train/data_tfidf_500_1_ 1_clean.pkl,0.81,0.01
RF,data/train/data_tfidf_500_1_ 1_clean.pkl,0.94,0.01
GB,data/train/data_tfidf_500_1_ 1_clean.pkl,0.92,0.01
NB,data/train/data_tfidf_2000_1_ 2_clean.pkl,0.96,0.01
SVM,data/train/data_tfidf_2000_1_ 2_clean.pkl,0.64,0.01
LR,data/train/data_tfidf_2000_1_ 2_clean.pkl,0.79,0.01
RF,data/train/data_tfidf_2000_1_ 2_clean.pkl,0.95,0.01
GB,data/train/data_tfidf_2000_1_ 2_clean.pkl,0.92,0.01
NB,data/train/data_tc_2000_1_ 3_clean_lemmatization.pkl,0.94,0.01
SVM,data/train/data_tc_2000_1_ 3_clean_lemmatization.pkl,0.65,0.01
LR,data/train/data_tc_2000_1_ 3_clean_lemmatization.pkl,0.95,0.01
RF,data/train/data_tc_2000_1_ 3_clean_lemmatization.pkl,0.95,0.0
GB,data/train/data_tc_2000_1_ 3_clean_lemmatization.pkl,0.93,0.0
NB,data/train/data_tc_500_1_ 3_clean_lemmatization.pkl,0.92,0.01
SVM,data/train/data_tc_500_1_ 3_clean_lemmatization.pkl,0.64,0.01
LR,data/train/data_tc_500_1_ 3_clean_lemmatization.pkl,0.94,0.0
RF,data/train/data_tc_500_1_ 3_clean_lemmatization.pkl,0.94,0.01
GB,data/train/data_tc_500_1_ 3_clean_lemmatization.pkl,0.93,0.0
NB,data/train/data_tfidf_5000_1_ 2_clean.pkl,0.97,0.01
SVM,data/train/data_tfidf_5000_1_ 2_clean.pkl,0.64,0.02
LR,data/train/data_tfidf_5000_1_ 2_clean.pkl,0.78,0.02
RF,data/train/data_tfidf_5000_1_ 2_clean.pkl,0.95,0.01
GB,data/train/data_tfidf_5000_1_ 2_clean.pkl,0.92,0.01
NB,data/train/data_tc_2000_1_ 2_clean.pkl,0.94,0.01
SVM,data/train/data_tc_2000_1_ 2_clean.pkl,0.65,0.01
LR,data/train/data_tc_2000_1_ 2_clean.pkl,0.95,0.01
RF,data/train/data_tc_2000_1_ 2_clean.pkl,0.95,0.01
GB,data/train/data_tc_2000_1_ 2_clean.pkl,0.93,0.01
NB,data/train/data_tc_2000_1_ 2_clean_lemmatization.pkl,0.94,0.0
SVM,data/train/data_tc_2000_1_ 2_clean_lemmatization.pkl,0.65,0.01
LR,data/train/data_tc_2000_1_ 2_clean_lemmatization.pkl,0.95,0.01
RF,data/train/data_tc_2000_1_ 2_clean_lemmatization.pkl,0.95,0.0
GB,data/train/data_tc_2000_1_ 2_clean_lemmatization.pkl,0.93,0.01
NB,data/train/data_tfidf_500_1_ 2_clean.pkl,0.94,0.01
SVM,data/train/data_tfidf_500_1_ 2_clean.pkl,0.63,0.02
LR,data/train/data_tfidf_500_1_ 2_clean.pkl,0.81,0.01
RF,data/train/data_tfidf_500_1_ 2_clean.pkl,0.95,0.0
GB,data/train/data_tfidf_500_1_ 2_clean.pkl,0.93,0.01
NB,data/train/data_tc_500_1_ 1_clean_lemmatization.pkl,0.92,0.01
SVM,data/train/data_tc_500_1_ 1_clean_lemmatization.pkl,0.65,0.01
LR,data/train/data_tc_500_1_ 1_clean_lemmatization.pkl,0.95,0.01
RF,data/train/data_tc_500_1_ 1_clean_lemmatization.pkl,0.94,0.0
GB,data/train/data_tc_500_1_ 1_clean_lemmatization.pkl,0.93,0.01
NB,data/train/data_tc_2000_1_ 3_clean.pkl,0.94,0.01
SVM,data/train/data_tc_2000_1_ 3_clean.pkl,0.64,0.02
LR,data/train/data_tc_2000_1_ 3_clean.pkl,0.94,0.01
RF,data/train/data_tc_2000_1_ 3_clean.pkl,0.95,0.01
GB,data/train/data_tc_2000_1_ 3_clean.pkl,0.93,0.01
NB,data/train/data_tfidf_800_1_ 1_clean.pkl,0.95,0.0
SVM,data/train/data_tfidf_800_1_ 1_clean.pkl,0.64,0.02
LR,data/train/data_tfidf_800_1_ 1_clean.pkl,0.8,0.01
RF,data/train/data_tfidf_800_1_ 1_clean.pkl,0.95,0.01
GB,data/train/data_tfidf_800_1_ 1_clean.pkl,0.92,0.01
NB,data/train/data_tc_800_1_ 2_clean_lemmatization.pkl,0.93,0.01
SVM,data/train/data_tc_800_1_ 2_clean_lemmatization.pkl,0.65,0.01
LR,data/train/data_tc_800_1_ 2_clean_lemmatization.pkl,0.94,0.01
RF,data/train/data_tc_800_1_ 2_clean_lemmatization.pkl,0.95,0.01
