algorithm,train_data_file,mean_balanced_accuracy,std_balanced_accuracy
GB,"data/train_test/data_tfidf_500_(1, 1)_clean.pkl",0.9,0.0
NB,"data/train_test/data_tfidf_5000_(1, 1)_clean.pkl",0.96,0.0
LR,"data/train_test/data_tfidf_5000_(1, 1)_clean.pkl",0.89,0.07
RF,"data/train_test/data_tfidf_5000_(1, 1)_clean.pkl",0.92,0.01
GB,"data/train_test/data_tfidf_5000_(1, 1)_clean.pkl",0.91,0.0
NB,"data/train_test/data_tc_10000_(1, 2)_clean.pkl",0.97,0.0
LR,"data/train_test/data_tc_10000_(1, 2)_clean.pkl",0.96,0.0
RF,"data/train_test/data_tc_10000_(1, 2)_clean.pkl",0.93,0.01
GB,"data/train_test/data_tc_10000_(1, 2)_clean.pkl",0.91,0.01
NB,"data/train_test/data_tfidf_2000_(1, 3)_clean_lemmatization.pkl",0.96,0.0
LR,"data/train_test/data_tfidf_2000_(1, 3)_clean_lemmatization.pkl",0.95,0.0
RF,"data/train_test/data_tfidf_2000_(1, 3)_clean_lemmatization.pkl",0.93,0.0
GB,"data/train_test/data_tfidf_2000_(1, 3)_clean_lemmatization.pkl",0.91,0.0
NB,"data/train_test/data_tc_2000_(1, 3)_clean.pkl",0.94,0.0
LR,"data/train_test/data_tc_2000_(1, 3)_clean.pkl",0.96,0.01
RF,"data/train_test/data_tc_2000_(1, 3)_clean.pkl",0.93,0.02
GB,"data/train_test/data_tc_2000_(1, 3)_clean.pkl",0.91,0.01
NB,"data/train_test/data_tfidf_500_(1, 3)_clean_lemmatization.pkl",0.94,0.01
LR,"data/train_test/data_tfidf_500_(1, 3)_clean_lemmatization.pkl",0.95,0.01
RF,"data/train_test/data_tfidf_500_(1, 3)_clean_lemmatization.pkl",0.93,0.01
GB,"data/train_test/data_tfidf_500_(1, 3)_clean_lemmatization.pkl",0.91,0.0
NB,"data/train_test/data_tc_500_(1, 3)_clean.pkl",0.92,0.01
LR,"data/train_test/data_tc_500_(1, 3)_clean.pkl",0.95,0.0
RF,"data/train_test/data_tc_500_(1, 3)_clean.pkl",0.93,0.01
GB,"data/train_test/data_tc_500_(1, 3)_clean.pkl",0.91,0.01
NB,"data/train_test/data_tc_5000_(1, 3)_clean_lemmatization.pkl",0.95,0.0
LR,"data/train_test/data_tc_5000_(1, 3)_clean_lemmatization.pkl",0.96,0.01
RF,"data/train_test/data_tc_5000_(1, 3)_clean_lemmatization.pkl",0.93,0.01
GB,"data/train_test/data_tc_5000_(1, 3)_clean_lemmatization.pkl",0.92,0.01
NB,"data/train_test/data_tc_500_(1, 2)_clean_lemmatization.pkl",0.92,0.01
LR,"data/train_test/data_tc_500_(1, 2)_clean_lemmatization.pkl",0.95,0.01
RF,"data/train_test/data_tc_500_(1, 2)_clean_lemmatization.pkl",0.93,0.01
GB,"data/train_test/data_tc_500_(1, 2)_clean_lemmatization.pkl",0.92,0.0
NB,"data/train_test/data_tc_800_(1, 2)_clean_lemmatization.pkl",0.94,0.01
LR,"data/train_test/data_tc_800_(1, 2)_clean_lemmatization.pkl",0.96,0.01
RF,"data/train_test/data_tc_800_(1, 2)_clean_lemmatization.pkl",0.92,0.01
GB,"data/train_test/data_tc_800_(1, 2)_clean_lemmatization.pkl",0.92,0.01
NB,"data/train_test/data_tc_800_(1, 3)_clean_lemmatization.pkl",0.94,0.0
LR,"data/train_test/data_tc_800_(1, 3)_clean_lemmatization.pkl",0.96,0.0
RF,"data/train_test/data_tc_800_(1, 3)_clean_lemmatization.pkl",0.93,0.0
GB,"data/train_test/data_tc_800_(1, 3)_clean_lemmatization.pkl",0.92,0.01
NB,"data/train_test/data_tfidf_5000_(1, 1)_clean_lemmatization.pkl",0.95,0.0
LR,"data/train_test/data_tfidf_5000_(1, 1)_clean_lemmatization.pkl",0.94,0.0
RF,"data/train_test/data_tfidf_5000_(1, 1)_clean_lemmatization.pkl",0.93,0.01
GB,"data/train_test/data_tfidf_5000_(1, 1)_clean_lemmatization.pkl",0.91,0.0
NB,"data/train_test/data_tc_500_(1, 2)_clean.pkl",0.93,0.0
LR,"data/train_test/data_tc_500_(1, 2)_clean.pkl",0.95,0.0
RF,"data/train_test/data_tc_500_(1, 2)_clean.pkl",0.93,0.0
GB,"data/train_test/data_tc_500_(1, 2)_clean.pkl",0.92,0.0
NB,"data/train_test/data_tfidf_500_(1, 1)_clean_lemmatization.pkl",0.94,0.01
LR,"data/train_test/data_tfidf_500_(1, 1)_clean_lemmatization.pkl",0.95,0.01
RF,"data/train_test/data_tfidf_500_(1, 1)_clean_lemmatization.pkl",0.93,0.0
GB,"data/train_test/data_tfidf_500_(1, 1)_clean_lemmatization.pkl",0.92,0.01
NB,"data/train_test/data_tc_10000_(1, 3)_clean_lemmatization.pkl",0.96,0.0
LR,"data/train_test/data_tc_10000_(1, 3)_clean_lemmatization.pkl",0.96,0.0
RF,"data/train_test/data_tc_10000_(1, 3)_clean_lemmatization.pkl",0.93,0.01
GB,"data/train_test/data_tc_10000_(1, 3)_clean_lemmatization.pkl",0.91,0.01
NB,"data/train_test/data_tc_2000_(1, 1)_clean_lemmatization.pkl",0.93,0.0
LR,"data/train_test/data_tc_2000_(1, 1)_clean_lemmatization.pkl",0.96,0.0
RF,"data/train_test/data_tc_2000_(1, 1)_clean_lemmatization.pkl",0.93,0.0
GB,"data/train_test/data_tc_2000_(1, 1)_clean_lemmatization.pkl",0.92,0.0
NB,"data/train_test/data_tc_5000_(1, 3)_clean.pkl",0.96,0.01
LR,"data/train_test/data_tc_5000_(1, 3)_clean.pkl",0.96,0.01
RF,"data/train_test/data_tc_5000_(1, 3)_clean.pkl",0.93,0.01
GB,"data/train_test/data_tc_5000_(1, 3)_clean.pkl",0.91,0.01
NB,"data/train_test/data_tc_10000_(1, 1)_clean.pkl",0.94,0.01
LR,"data/train_test/data_tc_10000_(1, 1)_clean.pkl",0.96,0.0
RF,"data/train_test/data_tc_10000_(1, 1)_clean.pkl",0.93,0.01
GB,"data/train_test/data_tc_10000_(1, 1)_clean.pkl",0.91,0.01
NB,"data/train_test/data_tc_10000_(1, 3)_clean.pkl",0.96,0.0
LR,"data/train_test/data_tc_10000_(1, 3)_clean.pkl",0.96,0.0
RF,"data/train_test/data_tc_10000_(1, 3)_clean.pkl",0.92,0.01
GB,"data/train_test/data_tc_10000_(1, 3)_clean.pkl",0.91,0.01
NB,"data/train_test/data_tfidf_800_(1, 1)_clean.pkl",0.94,0.01
LR,"data/train_test/data_tfidf_800_(1, 1)_clean.pkl",0.95,0.01
RF,"data/train_test/data_tfidf_800_(1, 1)_clean.pkl",0.93,0.01
GB,"data/train_test/data_tfidf_800_(1, 1)_clean.pkl",0.91,0.01
NB,"data/train_test/data_tc_1000_(1, 1)_clean_lemmatization.pkl",0.93,0.0
LR,"data/train_test/data_tc_1000_(1, 1)_clean_lemmatization.pkl",0.96,0.0
RF,"data/train_test/data_tc_1000_(1, 1)_clean_lemmatization.pkl",0.93,0.01
GB,"data/train_test/data_tc_1000_(1, 1)_clean_lemmatization.pkl",0.92,0.01
NB,"data/train_test/data_tfidf_800_(1, 2)_clean.pkl",0.95,0.0
LR,"data/train_test/data_tfidf_800_(1, 2)_clean.pkl",0.95,0.01
RF,"data/train_test/data_tfidf_800_(1, 2)_clean.pkl",0.92,0.0
GB,"data/train_test/data_tfidf_800_(1, 2)_clean.pkl",0.91,0.01
NB,"data/train_test/data_tfidf_10000_(1, 3)_clean.pkl",0.97,0.0
LR,"data/train_test/data_tfidf_10000_(1, 3)_clean.pkl",0.94,0.01
RF,"data/train_test/data_tfidf_10000_(1, 3)_clean.pkl",0.93,0.0
GB,"data/train_test/data_tfidf_10000_(1, 3)_clean.pkl",0.91,0.0
NB,"data/train_test/data_tfidf_800_(1, 2)_clean_lemmatization.pkl",0.95,0.0
LR,"data/train_test/data_tfidf_800_(1, 2)_clean_lemmatization.pkl",0.95,0.0
RF,"data/train_test/data_tfidf_800_(1, 2)_clean_lemmatization.pkl",0.92,0.01
GB,"data/train_test/data_tfidf_800_(1, 2)_clean_lemmatization.pkl",0.91,0.0
NB,"data/train_test/data_tfidf_1000_(1, 3)_clean.pkl",0.95,0.0
LR,"data/train_test/data_tfidf_1000_(1, 3)_clean.pkl",0.95,0.0
RF,"data/train_test/data_tfidf_1000_(1, 3)_clean.pkl",0.93,0.0
GB,"data/train_test/data_tfidf_1000_(1, 3)_clean.pkl",0.91,0.0
NB,"data/train_test/data_tfidf_10000_(1, 1)_clean.pkl",0.96,0.01
LR,"data/train_test/data_tfidf_10000_(1, 1)_clean.pkl",0.94,0.0
RF,"data/train_test/data_tfidf_10000_(1, 1)_clean.pkl",0.94,0.01
GB,"data/train_test/data_tfidf_10000_(1, 1)_clean.pkl",0.91,0.0
NB,"data/train_test/data_tc_10000_(1, 1)_clean_lemmatization.pkl",0.94,0.0
LR,"data/train_test/data_tc_10000_(1, 1)_clean_lemmatization.pkl",0.96,0.01
RF,"data/train_test/data_tc_10000_(1, 1)_clean_lemmatization.pkl",0.92,0.0
GB,"data/train_test/data_tc_10000_(1, 1)_clean_lemmatization.pkl",0.91,0.01
NB,"data/train_test/data_tfidf_800_(1, 3)_clean.pkl",0.95,0.0
LR,"data/train_test/data_tfidf_800_(1, 3)_clean.pkl",0.91,0.06
RF,"data/train_test/data_tfidf_800_(1, 3)_clean.pkl",0.92,0.01
GB,"data/train_test/data_tfidf_800_(1, 3)_clean.pkl",0.91,0.0
NB,"data/train_test/data_tc_800_(1, 1)_clean.pkl",0.93,0.0
LR,"data/train_test/data_tc_800_(1, 1)_clean.pkl",0.95,0.0
RF,"data/train_test/data_tc_800_(1, 1)_clean.pkl",0.93,0.01
GB,"data/train_test/data_tc_800_(1, 1)_clean.pkl",0.91,0.01
NB,"data/train_test/data_tc_5000_(1, 2)_clean_lemmatization.pkl",0.96,0.0
LR,"data/train_test/data_tc_5000_(1, 2)_clean_lemmatization.pkl",0.96,0.01
RF,"data/train_test/data_tc_5000_(1, 2)_clean_lemmatization.pkl",0.92,0.0
GB,"data/train_test/data_tc_5000_(1, 2)_clean_lemmatization.pkl",0.92,0.0
NB,"data/train_test/data_tfidf_1000_(1, 1)_clean.pkl",0.95,0.0
LR,"data/train_test/data_tfidf_1000_(1, 1)_clean.pkl",0.95,0.0
RF,"data/train_test/data_tfidf_1000_(1, 1)_clean.pkl",0.93,0.01
GB,"data/train_test/data_tfidf_1000_(1, 1)_clean.pkl",0.91,0.0
NB,"data/train_test/data_tfidf_1000_(1, 3)_clean_lemmatization.pkl",0.95,0.0
LR,"data/train_test/data_tfidf_1000_(1, 3)_clean_lemmatization.pkl",0.95,0.0
RF,"data/train_test/data_tfidf_1000_(1, 3)_clean_lemmatization.pkl",0.93,0.01
GB,"data/train_test/data_tfidf_1000_(1, 3)_clean_lemmatization.pkl",0.92,0.0
NB,"data/train_test/data_tc_800_(1, 2)_clean.pkl",0.94,0.0
LR,"data/train_test/data_tc_800_(1, 2)_clean.pkl",0.95,0.0
RF,"data/train_test/data_tc_800_(1, 2)_clean.pkl",0.92,0.01
GB,"data/train_test/data_tc_800_(1, 2)_clean.pkl",0.92,0.0
NB,"data/train_test/data_tfidf_2000_(1, 1)_clean.pkl",0.95,0.0
LR,"data/train_test/data_tfidf_2000_(1, 1)_clean.pkl",0.94,0.0
RF,"data/train_test/data_tfidf_2000_(1, 1)_clean.pkl",0.93,0.01
GB,"data/train_test/data_tfidf_2000_(1, 1)_clean.pkl",0.91,0.01
NB,"data/train_test/data_tfidf_2000_(1, 3)_clean.pkl",0.96,0.0
LR,"data/train_test/data_tfidf_2000_(1, 3)_clean.pkl",0.95,0.01
RF,"data/train_test/data_tfidf_2000_(1, 3)_clean.pkl",0.93,0.01
GB,"data/train_test/data_tfidf_2000_(1, 3)_clean.pkl",0.91,0.0
NB,"data/train_test/data_tc_1000_(1, 3)_clean_lemmatization.pkl",0.94,0.01
LR,"data/train_test/data_tc_1000_(1, 3)_clean_lemmatization.pkl",0.96,0.01
RF,"data/train_test/data_tc_1000_(1, 3)_clean_lemmatization.pkl",0.93,0.0
GB,"data/train_test/data_tc_1000_(1, 3)_clean_lemmatization.pkl",0.92,0.0
NB,"data/train_test/data_tc_1000_(1, 2)_clean_lemmatization.pkl",0.93,0.01
LR,"data/train_test/data_tc_1000_(1, 2)_clean_lemmatization.pkl",0.96,0.0
RF,"data/train_test/data_tc_1000_(1, 2)_clean_lemmatization.pkl",0.93,0.0
GB,"data/train_test/data_tc_1000_(1, 2)_clean_lemmatization.pkl",0.92,0.01
NB,"data/train_test/data_tc_1000_(1, 1)_clean.pkl",0.93,0.0
LR,"data/train_test/data_tc_1000_(1, 1)_clean.pkl",0.96,0.0
RF,"data/train_test/data_tc_1000_(1, 1)_clean.pkl",0.93,0.01
GB,"data/train_test/data_tc_1000_(1, 1)_clean.pkl",0.91,0.0
NB,"data/train_test/data_tfidf_800_(1, 3)_clean_lemmatization.pkl",0.95,0.01
LR,"data/train_test/data_tfidf_800_(1, 3)_clean_lemmatization.pkl",0.95,0.01
RF,"data/train_test/data_tfidf_800_(1, 3)_clean_lemmatization.pkl",0.93,0.01
GB,"data/train_test/data_tfidf_800_(1, 3)_clean_lemmatization.pkl",0.91,0.0
NB,"data/train_test/data_tfidf_1000_(1, 2)_clean.pkl",0.95,0.0
LR,"data/train_test/data_tfidf_1000_(1, 2)_clean.pkl",0.9,0.07
RF,"data/train_test/data_tfidf_1000_(1, 2)_clean.pkl",0.93,0.0
GB,"data/train_test/data_tfidf_1000_(1, 2)_clean.pkl",0.91,0.01
NB,"data/train_test/data_tc_5000_(1, 2)_clean.pkl",0.96,0.0
LR,"data/train_test/data_tc_5000_(1, 2)_clean.pkl",0.96,0.0
RF,"data/train_test/data_tc_5000_(1, 2)_clean.pkl",0.93,0.0
GB,"data/train_test/data_tc_5000_(1, 2)_clean.pkl",0.92,0.0
NB,"data/train_test/data_tfidf_10000_(1, 2)_clean.pkl",0.97,0.0
LR,"data/train_test/data_tfidf_10000_(1, 2)_clean.pkl",0.93,0.01
RF,"data/train_test/data_tfidf_10000_(1, 2)_clean.pkl",0.93,0.01
GB,"data/train_test/data_tfidf_10000_(1, 2)_clean.pkl",0.91,0.01
NB,"data/train_test/data_tc_800_(1, 1)_clean_lemmatization.pkl",0.93,0.01
LR,"data/train_test/data_tc_800_(1, 1)_clean_lemmatization.pkl",0.96,0.01
RF,"data/train_test/data_tc_800_(1, 1)_clean_lemmatization.pkl",0.93,0.01
GB,"data/train_test/data_tc_800_(1, 1)_clean_lemmatization.pkl",0.92,0.01
NB,"data/train_test/data_tfidf_2000_(1, 1)_clean_lemmatization.pkl",0.95,0.0
LR,"data/train_test/data_tfidf_2000_(1, 1)_clean_lemmatization.pkl",0.94,0.01
RF,"data/train_test/data_tfidf_2000_(1, 1)_clean_lemmatization.pkl",0.93,0.01
GB,"data/train_test/data_tfidf_2000_(1, 1)_clean_lemmatization.pkl",0.91,0.01
NB,"data/train_test/data_tfidf_2000_(1, 2)_clean_lemmatization.pkl",0.96,0.0
LR,"data/train_test/data_tfidf_2000_(1, 2)_clean_lemmatization.pkl",0.95,0.01
RF,"data/train_test/data_tfidf_2000_(1, 2)_clean_lemmatization.pkl",0.92,0.01
GB,"data/train_test/data_tfidf_2000_(1, 2)_clean_lemmatization.pkl",0.91,0.0
NB,"data/train_test/data_tfidf_1000_(1, 2)_clean_lemmatization.pkl",0.95,0.0
LR,"data/train_test/data_tfidf_1000_(1, 2)_clean_lemmatization.pkl",0.95,0.01
RF,"data/train_test/data_tfidf_1000_(1, 2)_clean_lemmatization.pkl",0.94,0.01
GB,"data/train_test/data_tfidf_1000_(1, 2)_clean_lemmatization.pkl",0.91,0.01
NB,"data/train_test/data_tfidf_5000_(1, 2)_clean_lemmatization.pkl",0.97,0.0
LR,"data/train_test/data_tfidf_5000_(1, 2)_clean_lemmatization.pkl",0.94,0.01
RF,"data/train_test/data_tfidf_5000_(1, 2)_clean_lemmatization.pkl",0.93,0.01
GB,"data/train_test/data_tfidf_5000_(1, 2)_clean_lemmatization.pkl",0.91,0.02
NB,"data/train_test/data_tc_500_(1, 1)_clean_lemmatization.pkl",0.92,0.0
LR,"data/train_test/data_tc_500_(1, 1)_clean_lemmatization.pkl",0.95,0.01
RF,"data/train_test/data_tc_500_(1, 1)_clean_lemmatization.pkl",0.93,0.0
GB,"data/train_test/data_tc_500_(1, 1)_clean_lemmatization.pkl",0.92,0.01
NB,"data/train_test/data_tfidf_5000_(1, 2)_clean.pkl",0.96,0.01
LR,"data/train_test/data_tfidf_5000_(1, 2)_clean.pkl",0.94,0.02
RF,"data/train_test/data_tfidf_5000_(1, 2)_clean.pkl",0.93,0.01
GB,"data/train_test/data_tfidf_5000_(1, 2)_clean.pkl",0.91,0.01
NB,"data/train_test/data_tfidf_5000_(1, 3)_clean.pkl",0.97,0.0
LR,"data/train_test/data_tfidf_5000_(1, 3)_clean.pkl",0.94,0.01
RF,"data/train_test/data_tfidf_5000_(1, 3)_clean.pkl",0.93,0.01
GB,"data/train_test/data_tfidf_5000_(1, 3)_clean.pkl",0.91,0.0
NB,"data/train_test/data_tfidf_10000_(1, 2)_clean_lemmatization.pkl",0.97,0.01
LR,"data/train_test/data_tfidf_10000_(1, 2)_clean_lemmatization.pkl",0.93,0.01
RF,"data/train_test/data_tfidf_10000_(1, 2)_clean_lemmatization.pkl",0.93,0.0
GB,"data/train_test/data_tfidf_10000_(1, 2)_clean_lemmatization.pkl",0.91,0.01
NB,"data/train_test/data_tc_1000_(1, 3)_clean.pkl",0.94,0.0
LR,"data/train_test/data_tc_1000_(1, 3)_clean.pkl",0.96,0.0
RF,"data/train_test/data_tc_1000_(1, 3)_clean.pkl",0.93,0.0
GB,"data/train_test/data_tc_1000_(1, 3)_clean.pkl",0.91,0.0
NB,"data/train_test/data_tc_2000_(1, 3)_clean_lemmatization.pkl",0.94,0.0
LR,"data/train_test/data_tc_2000_(1, 3)_clean_lemmatization.pkl",0.96,0.01
RF,"data/train_test/data_tc_2000_(1, 3)_clean_lemmatization.pkl",0.93,0.01
GB,"data/train_test/data_tc_2000_(1, 3)_clean_lemmatization.pkl",0.91,0.01
NB,"data/train_test/data_tc_10000_(1, 2)_clean_lemmatization.pkl",0.96,0.0
LR,"data/train_test/data_tc_10000_(1, 2)_clean_lemmatization.pkl",0.96,0.01
RF,"data/train_test/data_tc_10000_(1, 2)_clean_lemmatization.pkl",0.92,0.01
GB,"data/train_test/data_tc_10000_(1, 2)_clean_lemmatization.pkl",0.91,0.01
NB,"data/train_test/data_tc_2000_(1, 2)_clean_lemmatization.pkl",0.94,0.01
LR,"data/train_test/data_tc_2000_(1, 2)_clean_lemmatization.pkl",0.96,0.0
RF,"data/train_test/data_tc_2000_(1, 2)_clean_lemmatization.pkl",0.93,0.0
GB,"data/train_test/data_tc_2000_(1, 2)_clean_lemmatization.pkl",0.92,0.0
NB,"data/train_test/data_tc_2000_(1, 2)_clean.pkl",0.95,0.0
LR,"data/train_test/data_tc_2000_(1, 2)_clean.pkl",0.96,0.01
RF,"data/train_test/data_tc_2000_(1, 2)_clean.pkl",0.92,0.0
GB,"data/train_test/data_tc_2000_(1, 2)_clean.pkl",0.92,0.0
NB,"data/train_test/data_tfidf_500_(1, 2)_clean_lemmatization.pkl",0.94,0.0
LR,"data/train_test/data_tfidf_500_(1, 2)_clean_lemmatization.pkl",0.95,0.01
RF,"data/train_test/data_tfidf_500_(1, 2)_clean_lemmatization.pkl",0.93,0.01
GB,"data/train_test/data_tfidf_500_(1, 2)_clean_lemmatization.pkl",0.92,0.01
